arch/ia64/sn/include/pci/pcibus_provider_defs.h,include/asm-ia64/sn/pcibus_provider_defs.h,arch/ia64/include/asm/sn/pcibus_provider_defs.h
arch/ia64/sn/include/pci/pcidev.h,include/asm-ia64/sn/pcidev.h,arch/ia64/include/asm/sn/pcidev.h
arch/um/kernel/sys_call_table.c,arch/um/sys-x86_64/sys_call_table.c
sound/soc/at32/at32-pcm.c,sound/soc/atmel/atmel-pcm.c
sound/soc/at32/playpaq_wm8510.c,sound/soc/atmel/playpaq_wm8510.c
arch/cris/arch-v32/kernel/asm-offsets.c,arch/cris/kernel/asm-offsets.c
arch/cris/arch-v32/vmlinux.lds.S,arch/cris/kernel/vmlinux.lds.S
include/asm-xtensa/Kbuild,arch/xtensa/include/asm/Kbuild
include/asm-xtensa/asmmacro.h,arch/xtensa/include/asm/asmmacro.h
include/asm-xtensa/atomic.h,arch/xtensa/include/asm/atomic.h
include/asm-xtensa/auxvec.h,arch/xtensa/include/asm/auxvec.h,arch/xtensa/include/uapi/asm/auxvec.h
include/asm-xtensa/bitops.h,arch/xtensa/include/asm/bitops.h
include/asm-xtensa/bootparam.h,arch/xtensa/include/asm/bootparam.h
include/asm-xtensa/bug.h,arch/xtensa/include/asm/bug.h
include/asm-xtensa/bugs.h,arch/xtensa/include/asm/bugs.h
include/asm-xtensa/byteorder.h,arch/xtensa/include/asm/byteorder.h,arch/xtensa/include/uapi/asm/byteorder.h
include/asm-xtensa/cache.h,arch/xtensa/include/asm/cache.h
include/asm-xtensa/cacheasm.h,arch/xtensa/include/asm/cacheasm.h
include/asm-xtensa/cacheflush.h,arch/xtensa/include/asm/cacheflush.h
include/asm-xtensa/checksum.h,arch/xtensa/include/asm/checksum.h
include/asm-xtensa/coprocessor.h,arch/xtensa/include/asm/coprocessor.h
include/asm-xtensa/cpumask.h,arch/xtensa/include/asm/cpumask.h
include/asm-xtensa/cputime.h,arch/xtensa/include/asm/cputime.h
include/asm-xtensa/current.h,arch/xtensa/include/asm/current.h
include/asm-xtensa/delay.h,arch/xtensa/include/asm/delay.h
include/asm-xtensa/device.h,arch/xtensa/include/asm/device.h
include/asm-xtensa/div64.h,arch/xtensa/include/asm/div64.h
include/asm-xtensa/dma-mapping.h,arch/xtensa/include/asm/dma-mapping.h
include/asm-xtensa/dma.h,arch/xtensa/include/asm/dma.h
include/asm-xtensa/elf.h,arch/xtensa/include/asm/elf.h
include/asm-xtensa/emergency-restart.h,arch/xtensa/include/asm/emergency-restart.h
include/asm-xtensa/errno.h,arch/xtensa/include/asm/errno.h,arch/xtensa/include/uapi/asm/errno.h
include/asm-xtensa/fb.h,arch/xtensa/include/asm/fb.h
include/asm-xtensa/fcntl.h,arch/xtensa/include/asm/fcntl.h,arch/xtensa/include/uapi/asm/fcntl.h
include/asm-xtensa/futex.h,arch/xtensa/include/asm/futex.h
include/asm-xtensa/hardirq.h,arch/xtensa/include/asm/hardirq.h
include/asm-xtensa/highmem.h,arch/xtensa/include/asm/highmem.h
include/asm-xtensa/hw_irq.h,arch/xtensa/include/asm/hw_irq.h
include/asm-xtensa/io.h,arch/xtensa/include/asm/io.h
include/asm-xtensa/ioctl.h,arch/xtensa/include/asm/ioctl.h,arch/xtensa/include/uapi/asm/ioctl.h
include/asm-xtensa/ioctls.h,arch/xtensa/include/asm/ioctls.h,arch/xtensa/include/uapi/asm/ioctls.h
include/asm-xtensa/ipcbuf.h,arch/xtensa/include/asm/ipcbuf.h,arch/xtensa/include/uapi/asm/ipcbuf.h
include/asm-xtensa/irq.h,arch/xtensa/include/asm/irq.h
include/asm-xtensa/irq_regs.h,arch/xtensa/include/asm/irq_regs.h
include/asm-xtensa/kdebug.h,arch/xtensa/include/asm/kdebug.h
include/asm-xtensa/kmap_types.h,arch/xtensa/include/asm/kmap_types.h
include/asm-xtensa/linkage.h,arch/xtensa/include/asm/linkage.h
include/asm-xtensa/local.h,arch/xtensa/include/asm/local.h
include/asm-xtensa/mman.h,arch/xtensa/include/asm/mman.h,arch/xtensa/include/uapi/asm/mman.h
include/asm-xtensa/mmu.h,arch/xtensa/include/asm/mmu.h
include/asm-xtensa/mmu_context.h,arch/xtensa/include/asm/mmu_context.h
include/asm-xtensa/module.h,arch/xtensa/include/asm/module.h
include/asm-xtensa/msgbuf.h,arch/xtensa/include/asm/msgbuf.h,arch/xtensa/include/uapi/asm/msgbuf.h
include/asm-xtensa/mutex.h,arch/xtensa/include/asm/mutex.h
include/asm-xtensa/page.h,arch/xtensa/include/asm/page.h
include/asm-xtensa/param.h,arch/xtensa/include/asm/param.h
include/asm-xtensa/pci-bridge.h,arch/xtensa/include/asm/pci-bridge.h
include/asm-xtensa/pci.h,arch/xtensa/include/asm/pci.h
include/asm-xtensa/percpu.h,arch/xtensa/include/asm/percpu.h
include/asm-xtensa/pgalloc.h,arch/xtensa/include/asm/pgalloc.h
include/asm-xtensa/pgtable.h,arch/xtensa/include/asm/pgtable.h
include/asm-xtensa/platform.h,arch/xtensa/include/asm/platform.h
include/asm-xtensa/poll.h,arch/xtensa/include/asm/poll.h,arch/xtensa/include/uapi/asm/poll.h
include/asm-xtensa/posix_types.h,arch/xtensa/include/asm/posix_types.h,arch/xtensa/include/uapi/asm/posix_types.h
include/asm-xtensa/processor.h,arch/xtensa/include/asm/processor.h
include/asm-xtensa/ptrace.h,arch/xtensa/include/asm/ptrace.h
include/asm-xtensa/regs.h,arch/xtensa/include/asm/regs.h
include/asm-xtensa/resource.h,arch/xtensa/include/asm/resource.h,arch/xtensa/include/uapi/asm/resource.h
include/asm-xtensa/rmap.h,arch/xtensa/include/asm/rmap.h
include/asm-xtensa/rwsem.h,arch/xtensa/include/asm/rwsem.h
include/asm-xtensa/scatterlist.h,arch/xtensa/include/asm/scatterlist.h
include/asm-xtensa/sections.h,arch/xtensa/include/asm/sections.h
include/asm-xtensa/segment.h,arch/xtensa/include/asm/segment.h
include/asm-xtensa/sembuf.h,arch/xtensa/include/asm/sembuf.h,arch/xtensa/include/uapi/asm/sembuf.h
include/asm-xtensa/serial.h,arch/xtensa/include/asm/serial.h
include/asm-xtensa/setup.h,arch/xtensa/include/asm/setup.h,arch/xtensa/include/uapi/asm/setup.h
include/asm-xtensa/shmbuf.h,arch/xtensa/include/asm/shmbuf.h,arch/xtensa/include/uapi/asm/shmbuf.h
include/asm-xtensa/shmparam.h,arch/xtensa/include/asm/shmparam.h
include/asm-xtensa/sigcontext.h,arch/xtensa/include/asm/sigcontext.h,arch/xtensa/include/uapi/asm/sigcontext.h
include/asm-xtensa/siginfo.h,arch/xtensa/include/asm/siginfo.h,arch/xtensa/include/uapi/asm/siginfo.h
include/asm-xtensa/signal.h,arch/xtensa/include/asm/signal.h
include/asm-xtensa/smp.h,arch/xtensa/include/asm/smp.h
include/asm-xtensa/socket.h,arch/xtensa/include/asm/socket.h,arch/xtensa/include/uapi/asm/socket.h
include/asm-xtensa/sockios.h,arch/xtensa/include/asm/sockios.h,arch/xtensa/include/uapi/asm/sockios.h
include/asm-xtensa/spinlock.h,arch/xtensa/include/asm/spinlock.h
include/asm-xtensa/stat.h,arch/xtensa/include/asm/stat.h,arch/xtensa/include/uapi/asm/stat.h
include/asm-xtensa/statfs.h,arch/xtensa/include/asm/statfs.h,arch/xtensa/include/uapi/asm/statfs.h
include/asm-xtensa/string.h,arch/xtensa/include/asm/string.h
include/asm-xtensa/syscall.h,arch/xtensa/include/asm/syscall.h
include/asm-xtensa/system.h,arch/xtensa/include/asm/system.h
include/asm-xtensa/termbits.h,arch/xtensa/include/asm/termbits.h,arch/xtensa/include/uapi/asm/termbits.h
include/asm-xtensa/termios.h,arch/xtensa/include/asm/termios.h
include/asm-xtensa/thread_info.h,arch/xtensa/include/asm/thread_info.h
include/asm-xtensa/timex.h,arch/xtensa/include/asm/timex.h
include/asm-xtensa/tlb.h,arch/xtensa/include/asm/tlb.h
include/asm-xtensa/tlbflush.h,arch/xtensa/include/asm/tlbflush.h
include/asm-xtensa/topology.h,arch/xtensa/include/asm/topology.h
include/asm-xtensa/types.h,arch/xtensa/include/asm/types.h
include/asm-xtensa/uaccess.h,arch/xtensa/include/asm/uaccess.h
include/asm-xtensa/ucontext.h,arch/xtensa/include/asm/ucontext.h
include/asm-xtensa/unaligned.h,arch/xtensa/include/asm/unaligned.h
include/asm-xtensa/unistd.h,arch/xtensa/include/asm/unistd.h
include/asm-xtensa/user.h,arch/xtensa/include/asm/user.h
include/asm-xtensa/vga.h,arch/xtensa/include/asm/vga.h
include/asm-xtensa/xor.h,arch/xtensa/include/asm/xor.h
include/asm-xtensa/platform-iss/hardware.h,arch/xtensa/platforms/iss/include/platform/hardware.h
include/asm-xtensa/platform-iss/simcall.h,arch/xtensa/platforms/iss/include/platform/simcall.h
include/asm-xtensa/variant-dc232b/core.h,arch/xtensa/variants/dc232b/include/variant/core.h
include/asm-xtensa/variant-dc232b/tie-asm.h,arch/xtensa/variants/dc232b/include/variant/tie-asm.h
include/asm-xtensa/variant-dc232b/tie.h,arch/xtensa/variants/dc232b/include/variant/tie.h
include/asm-xtensa/variant-fsf/core.h,arch/xtensa/variants/fsf/include/variant/core.h
include/asm-xtensa/variant-fsf/tie-asm.h,arch/xtensa/variants/fsf/include/variant/tie-asm.h
include/asm-xtensa/variant-fsf/tie.h,arch/xtensa/variants/fsf/include/variant/tie.h
fs/msdos/namei.c,fs/fat/namei_msdos.c
fs/vfat/namei.c,fs/fat/namei_vfat.c
include/asm-x86/iomap.h,arch/x86/include/asm/iomap.h
drivers/net/wireless/airport.c,drivers/net/wireless/orinoco/airport.c
drivers/net/wireless/hermes.c,drivers/net/wireless/orinoco/hermes.c
drivers/net/wireless/hermes.h,drivers/net/wireless/orinoco/hermes.h
drivers/net/wireless/hermes_dld.c,drivers/net/wireless/orinoco/hermes_dld.c
drivers/net/wireless/hermes_dld.h,drivers/net/wireless/orinoco/hermes_dld.h
drivers/net/wireless/hermes_rid.h,drivers/net/wireless/orinoco/hermes_rid.h
drivers/net/wireless/orinoco.c,drivers/net/wireless/orinoco/orinoco.c,drivers/net/wireless/orinoco/main.c
drivers/net/wireless/orinoco.h,drivers/net/wireless/orinoco/orinoco.h
drivers/net/wireless/orinoco_cs.c,drivers/net/wireless/orinoco/orinoco_cs.c
drivers/net/wireless/orinoco_nortel.c,drivers/net/wireless/orinoco/orinoco_nortel.c
drivers/net/wireless/orinoco_pci.c,drivers/net/wireless/orinoco/orinoco_pci.c
drivers/net/wireless/orinoco_pci.h,drivers/net/wireless/orinoco/orinoco_pci.h
drivers/net/wireless/orinoco_plx.c,drivers/net/wireless/orinoco/orinoco_plx.c
drivers/net/wireless/orinoco_tmd.c,drivers/net/wireless/orinoco/orinoco_tmd.c
drivers/net/wireless/spectrum_cs.c,drivers/net/wireless/orinoco/spectrum_cs.c
kernel/trace/trace_unlikely.c,kernel/trace/trace_branch.c
Documentation/MSI-HOWTO.txt,Documentation/PCI/MSI-HOWTO.txt
Documentation/README.DAC960,Documentation/blockdev/README.DAC960
Documentation/cciss.txt,Documentation/blockdev/cciss.txt
Documentation/cpqarray.txt,Documentation/blockdev/cpqarray.txt
Documentation/floppy.txt,Documentation/blockdev/floppy.txt
Documentation/nbd.txt,Documentation/blockdev/nbd.txt
Documentation/paride.txt,Documentation/blockdev/paride.txt
Documentation/ramdisk.txt,Documentation/blockdev/ramdisk.txt
Documentation/ioctl-number.txt,Documentation/ioctl/ioctl-number.txt
Documentation/README.cycladesZ,Documentation/serial/README.cycladesZ
Documentation/computone.txt,Documentation/serial/computone.txt
Documentation/digiepca.txt,Documentation/serial/digiepca.txt
Documentation/hayes-esp.txt,Documentation/serial/hayes-esp.txt
Documentation/moxa-smartio,Documentation/serial/moxa-smartio
Documentation/riscom8.txt,Documentation/serial/riscom8.txt
Documentation/rocket.txt,Documentation/serial/rocket.txt
Documentation/specialix.txt,Documentation/serial/specialix.txt
Documentation/stallion.txt,Documentation/serial/stallion.txt
Documentation/sx.txt,Documentation/serial/sx.txt
Documentation/tty.txt,Documentation/serial/tty.txt
drivers/net/phy/mdio-ofgpio.c,drivers/net/phy/mdio-gpio.c
sound/soc/codecs/uda134x_codec.h,sound/soc/codecs/uda134x.h
drivers/net/wireless/rtl8180.h,drivers/net/wireless/rtl818x/rtl8180.h,drivers/net/wireless/rtl818x/rtl8180/rtl8180.h
drivers/net/wireless/rtl8180_dev.c,drivers/net/wireless/rtl818x/rtl8180_dev.c,drivers/net/wireless/rtl818x/rtl8180/dev.c
drivers/net/wireless/rtl8180_grf5101.c,drivers/net/wireless/rtl818x/rtl8180_grf5101.c,drivers/net/wireless/rtl818x/rtl8180/grf5101.c
drivers/net/wireless/rtl8180_grf5101.h,drivers/net/wireless/rtl818x/rtl8180_grf5101.h,drivers/net/wireless/rtl818x/rtl8180/grf5101.h
drivers/net/wireless/rtl8180_max2820.c,drivers/net/wireless/rtl818x/rtl8180_max2820.c,drivers/net/wireless/rtl818x/rtl8180/max2820.c
drivers/net/wireless/rtl8180_max2820.h,drivers/net/wireless/rtl818x/rtl8180_max2820.h,drivers/net/wireless/rtl818x/rtl8180/max2820.h
drivers/net/wireless/rtl8180_rtl8225.c,drivers/net/wireless/rtl818x/rtl8180_rtl8225.c,drivers/net/wireless/rtl818x/rtl8180/rtl8225.c
drivers/net/wireless/rtl8180_rtl8225.h,drivers/net/wireless/rtl818x/rtl8180_rtl8225.h,drivers/net/wireless/rtl818x/rtl8180/rtl8225.h
drivers/net/wireless/rtl8180_sa2400.c,drivers/net/wireless/rtl818x/rtl8180_sa2400.c,drivers/net/wireless/rtl818x/rtl8180/sa2400.c
drivers/net/wireless/rtl8180_sa2400.h,drivers/net/wireless/rtl818x/rtl8180_sa2400.h,drivers/net/wireless/rtl818x/rtl8180/sa2400.h
drivers/net/wireless/rtl8187.h,drivers/net/wireless/rtl818x/rtl8187.h,drivers/net/wireless/rtl818x/rtl8187/rtl8187.h
drivers/net/wireless/rtl8187_dev.c,drivers/net/wireless/rtl818x/rtl8187_dev.c,drivers/net/wireless/rtl818x/rtl8187/dev.c
drivers/net/wireless/rtl8187_rtl8225.c,drivers/net/wireless/rtl818x/rtl8187_rtl8225.c,drivers/net/wireless/rtl818x/rtl8187/rtl8225.c
drivers/net/wireless/rtl8187_rtl8225.h,drivers/net/wireless/rtl818x/rtl8187_rtl8225.h,drivers/net/wireless/rtl818x/rtl8187/rtl8225.h
drivers/net/wireless/rtl818x.h,drivers/net/wireless/rtl818x/rtl818x.h
net/ieee80211/ieee80211_crypt_ccmp.c,net/wireless/lib80211_crypt_ccmp.c
net/ieee80211/ieee80211_crypt_tkip.c,net/wireless/lib80211_crypt_tkip.c
net/ieee80211/ieee80211_crypt_wep.c,net/wireless/lib80211_crypt_wep.c
drivers/net/wireless/ipw2100.c,drivers/net/wireless/ipw2x00/ipw2100.c
drivers/net/wireless/ipw2100.h,drivers/net/wireless/ipw2x00/ipw2100.h
drivers/net/wireless/ipw2200.c,drivers/net/wireless/ipw2x00/ipw2200.c
drivers/net/wireless/ipw2200.h,drivers/net/wireless/ipw2x00/ipw2200.h
net/ieee80211/ieee80211_geo.c,drivers/net/wireless/ipw2x00/libipw_geo.c
net/ieee80211/ieee80211_module.c,drivers/net/wireless/ipw2x00/libipw_module.c
net/ieee80211/ieee80211_rx.c,drivers/net/wireless/ipw2x00/libipw_rx.c
net/ieee80211/ieee80211_tx.c,drivers/net/wireless/ipw2x00/libipw_tx.c
net/ieee80211/ieee80211_wx.c,drivers/net/wireless/ipw2x00/libipw_wx.c
drivers/net/wan/hd6457x.c,drivers/net/wan/hd64570.c
arch/sparc/math-emu/math.c,arch/sparc/math-emu/math_32.c
arch/sparc/math-emu/sfp-util.h,arch/sparc/math-emu/sfp-util_32.h
arch/sparc64/math-emu/math.c,arch/sparc/math-emu/math_64.c
arch/sparc64/math-emu/sfp-util.h,arch/sparc/math-emu/sfp-util_64.h
arch/sparc/mm/fault.c,arch/sparc/mm/fault_32.c
arch/sparc/mm/generic.c,arch/sparc/mm/generic_32.c
arch/sparc/mm/init.c,arch/sparc/mm/init_32.c
arch/sparc64/mm/fault.c,arch/sparc/mm/fault_64.c
arch/sparc64/mm/generic.c,arch/sparc/mm/generic_64.c
arch/sparc64/mm/hugetlbpage.c,arch/sparc/mm/hugetlbpage.c
arch/sparc64/mm/init.c,arch/sparc/mm/init_64.c
arch/sparc64/mm/init.h,arch/sparc/mm/init_64.h
arch/sparc64/mm/tlb.c,arch/sparc/mm/tlb.c
arch/sparc64/mm/tsb.c,arch/sparc/mm/tsb.c
arch/sparc64/mm/ultra.S,arch/sparc/mm/ultra.S
arch/sparc/defconfig,arch/sparc/configs/sparc32_defconfig
arch/sparc64/defconfig,arch/sparc/configs/sparc64_defconfig
arch/sparc/prom/bootstr.c,arch/sparc/prom/bootstr_32.c
arch/sparc/prom/console.c,arch/sparc/prom/console_32.c
arch/sparc/prom/devops.c,arch/sparc/prom/devops_32.c
arch/sparc/prom/init.c,arch/sparc/prom/init_32.c
arch/sparc/prom/misc.c,arch/sparc/prom/misc_32.c
arch/sparc/prom/printf.c,arch/sparc/prom/printf_32.c
arch/sparc/prom/tree.c,arch/sparc/prom/tree_32.c
arch/sparc64/prom/bootstr.c,arch/sparc/prom/bootstr_64.c
arch/sparc64/prom/cif.S,arch/sparc/prom/cif.S
arch/sparc64/prom/console.c,arch/sparc/prom/console_64.c
arch/sparc64/prom/devops.c,arch/sparc/prom/devops_64.c
arch/sparc64/prom/init.c,arch/sparc/prom/init_64.c
arch/sparc64/prom/misc.c,arch/sparc/prom/misc_64.c
arch/sparc64/prom/p1275.c,arch/sparc/prom/p1275.c
arch/sparc64/prom/printf.c,arch/sparc/prom/printf_64.c,arch/sparc/prom/printf.c
arch/sparc64/prom/tree.c,arch/sparc/prom/tree_64.c
arch/sparc/lib/atomic.S,arch/sparc/lib/atomic_32.S
arch/sparc/lib/checksum.S,arch/sparc/lib/checksum_32.S
arch/sparc/lib/memcmp.S,arch/sparc/lib/memcmp_32.S
arch/sparc/lib/memscan.S,arch/sparc/lib/memscan_32.S
arch/sparc/lib/rwsem.S,arch/sparc/lib/rwsem_32.S
arch/sparc/lib/strlen.S,arch/sparc/lib/strlen_32.S
arch/sparc/lib/strlen_user.S,arch/sparc/lib/strlen_user_32.S
arch/sparc/lib/strncmp.S,arch/sparc/lib/strncmp_32.S
arch/sparc/lib/strncpy_from_user.S,arch/sparc/lib/strncpy_from_user_32.S
arch/sparc64/lib/GENbzero.S,arch/sparc/lib/GENbzero.S
arch/sparc64/lib/GENcopy_from_user.S,arch/sparc/lib/GENcopy_from_user.S
arch/sparc64/lib/GENcopy_to_user.S,arch/sparc/lib/GENcopy_to_user.S
arch/sparc64/lib/GENmemcpy.S,arch/sparc/lib/GENmemcpy.S
arch/sparc64/lib/GENpage.S,arch/sparc/lib/GENpage.S
arch/sparc64/lib/GENpatch.S,arch/sparc/lib/GENpatch.S
arch/sparc64/lib/NG2copy_from_user.S,arch/sparc/lib/NG2copy_from_user.S
arch/sparc64/lib/NG2copy_to_user.S,arch/sparc/lib/NG2copy_to_user.S
arch/sparc64/lib/NG2memcpy.S,arch/sparc/lib/NG2memcpy.S
arch/sparc64/lib/NG2page.S,arch/sparc/lib/NG2page.S
arch/sparc64/lib/NG2patch.S,arch/sparc/lib/NG2patch.S
arch/sparc64/lib/NGbzero.S,arch/sparc/lib/NGbzero.S
arch/sparc64/lib/NGcopy_from_user.S,arch/sparc/lib/NGcopy_from_user.S
arch/sparc64/lib/NGcopy_to_user.S,arch/sparc/lib/NGcopy_to_user.S
arch/sparc64/lib/NGmemcpy.S,arch/sparc/lib/NGmemcpy.S
arch/sparc64/lib/NGpage.S,arch/sparc/lib/NGpage.S
arch/sparc64/lib/NGpatch.S,arch/sparc/lib/NGpatch.S
arch/sparc64/lib/PeeCeeI.c,arch/sparc/lib/PeeCeeI.c
arch/sparc64/lib/U1copy_from_user.S,arch/sparc/lib/U1copy_from_user.S
arch/sparc64/lib/U1copy_to_user.S,arch/sparc/lib/U1copy_to_user.S
arch/sparc64/lib/U1memcpy.S,arch/sparc/lib/U1memcpy.S
arch/sparc64/lib/U3copy_from_user.S,arch/sparc/lib/U3copy_from_user.S
arch/sparc64/lib/U3copy_to_user.S,arch/sparc/lib/U3copy_to_user.S
arch/sparc64/lib/U3memcpy.S,arch/sparc/lib/U3memcpy.S
arch/sparc64/lib/U3patch.S,arch/sparc/lib/U3patch.S
arch/sparc64/lib/VISsave.S,arch/sparc/lib/VISsave.S
arch/sparc64/lib/atomic.S,arch/sparc/lib/atomic_64.S
arch/sparc64/lib/bitops.S,arch/sparc/lib/bitops.S
arch/sparc64/lib/bzero.S,arch/sparc/lib/bzero.S
arch/sparc64/lib/checksum.S,arch/sparc/lib/checksum_64.S
arch/sparc64/lib/clear_page.S,arch/sparc/lib/clear_page.S
arch/sparc64/lib/copy_in_user.S,arch/sparc/lib/copy_in_user.S
arch/sparc64/lib/copy_page.S,arch/sparc/lib/copy_page.S
arch/sparc64/lib/csum_copy.S,arch/sparc/lib/csum_copy.S
arch/sparc64/lib/csum_copy_from_user.S,arch/sparc/lib/csum_copy_from_user.S
arch/sparc64/lib/csum_copy_to_user.S,arch/sparc/lib/csum_copy_to_user.S
arch/sparc64/lib/ipcsum.S,arch/sparc/lib/ipcsum.S
arch/sparc64/lib/mcount.S,arch/sparc/lib/mcount.S
arch/sparc64/lib/memcmp.S,arch/sparc/lib/memcmp_64.S
arch/sparc64/lib/memmove.S,arch/sparc/lib/memmove.S
arch/sparc64/lib/memscan.S,arch/sparc/lib/memscan_64.S
arch/sparc64/lib/rwsem.S,arch/sparc/lib/rwsem_64.S
arch/sparc64/lib/strlen.S,arch/sparc/lib/strlen_64.S,arch/sparc/lib/strlen.S
arch/sparc64/lib/strlen_user.S,arch/sparc/lib/strlen_user_64.S
arch/sparc64/lib/strncmp.S,arch/sparc/lib/strncmp_64.S
arch/sparc64/lib/strncpy_from_user.S,arch/sparc/lib/strncpy_from_user_64.S
arch/sparc64/lib/user_fixup.c,arch/sparc/lib/user_fixup.c
arch/sparc64/lib/xor.S,arch/sparc/lib/xor.S
arch/sparc/kernel/auxio.c,arch/sparc/kernel/auxio_32.c
arch/sparc/kernel/cpu.c,arch/sparc/kernel/cpu_32.c,arch/sparc/kernel/cpu.c
arch/sparc/kernel/etrap.S,arch/sparc/kernel/etrap_32.S
arch/sparc/kernel/head.S,arch/sparc/kernel/head_32.S
arch/sparc/kernel/idprom.c,arch/sparc/kernel/idprom_32.c,arch/sparc/kernel/idprom.c
arch/sparc/kernel/init_task.c,arch/sparc/kernel/init_task_32.c,arch/sparc/kernel/init_task.c
arch/sparc/kernel/irq.c,arch/sparc/kernel/irq_32.c
arch/sparc/kernel/kgdb.c,arch/sparc/kernel/kgdb_32.c
arch/sparc/kernel/module.c,arch/sparc/kernel/module_32.c
arch/sparc/kernel/of_device.c,arch/sparc/kernel/of_device_32.c
arch/sparc/kernel/process.c,arch/sparc/kernel/process_32.c
arch/sparc/kernel/prom.c,arch/sparc/kernel/prom_32.c
arch/sparc/kernel/ptrace.c,arch/sparc/kernel/ptrace_32.c
arch/sparc/kernel/rtrap.S,arch/sparc/kernel/rtrap_32.S
arch/sparc/kernel/setup.c,arch/sparc/kernel/setup_32.c
arch/sparc/kernel/signal.c,arch/sparc/kernel/signal_32.c
arch/sparc/kernel/smp.c,arch/sparc/kernel/smp_32.c
arch/sparc/kernel/sparc_ksyms.c,arch/sparc/kernel/sparc_ksyms_32.c
arch/sparc/kernel/sys_sparc.c,arch/sparc/kernel/sys_sparc_32.c
arch/sparc/kernel/systbls.S,arch/sparc/kernel/systbls_32.S
arch/sparc/kernel/time.c,arch/sparc/kernel/time_32.c
arch/sparc/kernel/trampoline.S,arch/sparc/kernel/trampoline_32.S
arch/sparc/kernel/traps.c,arch/sparc/kernel/traps_32.c
arch/sparc/kernel/una_asm.S,arch/sparc/kernel/una_asm_32.S
arch/sparc/kernel/unaligned.c,arch/sparc/kernel/unaligned_32.c
arch/sparc64/kernel/audit.c,arch/sparc/kernel/audit.c
arch/sparc64/kernel/auxio.c,arch/sparc/kernel/auxio_64.c
arch/sparc64/kernel/central.c,arch/sparc/kernel/central.c
arch/sparc64/kernel/cherrs.S,arch/sparc/kernel/cherrs.S
arch/sparc64/kernel/chmc.c,arch/sparc/kernel/chmc.c
arch/sparc64/kernel/compat_audit.c,arch/sparc/kernel/compat_audit.c
arch/sparc64/kernel/cpu.c,arch/sparc/kernel/cpu_64.c
arch/sparc64/kernel/ds.c,arch/sparc/kernel/ds.c
arch/sparc64/kernel/dtlb_miss.S,arch/sparc/kernel/dtlb_miss.S
arch/sparc64/kernel/dtlb_prot.S,arch/sparc/kernel/dtlb_prot.S
arch/sparc64/kernel/ebus.c,arch/sparc/kernel/ebus.c
arch/sparc64/kernel/entry.h,arch/sparc/kernel/entry.h
arch/sparc64/kernel/etrap.S,arch/sparc/kernel/etrap_64.S
arch/sparc64/kernel/fpu_traps.S,arch/sparc/kernel/fpu_traps.S
arch/sparc64/kernel/ftrace.c,arch/sparc/kernel/ftrace.c
arch/sparc64/kernel/getsetcc.S,arch/sparc/kernel/getsetcc.S
arch/sparc64/kernel/head.S,arch/sparc/kernel/head_64.S
arch/sparc64/kernel/helpers.S,arch/sparc/kernel/helpers.S
arch/sparc64/kernel/hvapi.c,arch/sparc/kernel/hvapi.c
arch/sparc64/kernel/hvcalls.S,arch/sparc/kernel/hvcalls.S
arch/sparc64/kernel/hvtramp.S,arch/sparc/kernel/hvtramp.S
arch/sparc64/kernel/idprom.c,arch/sparc/kernel/idprom_64.c
arch/sparc64/kernel/init_task.c,arch/sparc/kernel/init_task_64.c
arch/sparc64/kernel/iommu_common.h,arch/sparc/kernel/iommu_common.h
arch/sparc64/kernel/irq.c,arch/sparc/kernel/irq_64.c
arch/sparc64/kernel/itlb_miss.S,arch/sparc/kernel/itlb_miss.S
arch/sparc64/kernel/ivec.S,arch/sparc/kernel/ivec.S
arch/sparc64/kernel/kgdb.c,arch/sparc/kernel/kgdb_64.c
arch/sparc64/kernel/kprobes.c,arch/sparc/kernel/kprobes.c
arch/sparc64/kernel/kstack.h,arch/sparc/kernel/kstack.h
arch/sparc64/kernel/ktlb.S,arch/sparc/kernel/ktlb.S
arch/sparc64/kernel/ldc.c,arch/sparc/kernel/ldc.c
arch/sparc64/kernel/mdesc.c,arch/sparc/kernel/mdesc.c
arch/sparc64/kernel/misctrap.S,arch/sparc/kernel/misctrap.S
arch/sparc64/kernel/module.c,arch/sparc/kernel/module_64.c,arch/sparc/kernel/module.c
arch/sparc64/kernel/of_device.c,arch/sparc/kernel/of_device_64.c
arch/sparc64/kernel/pci.c,arch/sparc/kernel/pci.c
arch/sparc64/kernel/pci_common.c,arch/sparc/kernel/pci_common.c
arch/sparc64/kernel/pci_fire.c,arch/sparc/kernel/pci_fire.c
arch/sparc64/kernel/pci_impl.h,arch/sparc/kernel/pci_impl.h
arch/sparc64/kernel/pci_msi.c,arch/sparc/kernel/pci_msi.c
arch/sparc64/kernel/pci_psycho.c,arch/sparc/kernel/pci_psycho.c
arch/sparc64/kernel/pci_sabre.c,arch/sparc/kernel/pci_sabre.c
arch/sparc64/kernel/pci_schizo.c,arch/sparc/kernel/pci_schizo.c
arch/sparc64/kernel/pci_sun4v.c,arch/sparc/kernel/pci_sun4v.c
arch/sparc64/kernel/pci_sun4v.h,arch/sparc/kernel/pci_sun4v.h
arch/sparc64/kernel/pci_sun4v_asm.S,arch/sparc/kernel/pci_sun4v_asm.S
arch/sparc64/kernel/power.c,arch/sparc/kernel/power.c
arch/sparc64/kernel/process.c,arch/sparc/kernel/process_64.c
