include/asm-i386/ppcboot-i386.h,include/asm-i386/u-boot-i386.h,arch/i386/include/asm/u-boot-i386.h,arch/x86/include/asm/u-boot-x86.h
cpu/xscale/Makefile,cpu/pxa/Makefile,arch/arm/cpu/pxa/Makefile
cpu/xscale/config.mk,cpu/pxa/config.mk,arch/arm/cpu/pxa/config.mk
cpu/xscale/cpu.c,cpu/pxa/cpu.c,arch/arm/cpu/pxa/cpu.c,arch/arm/cpu/pxa/pxa2xx.c
cpu/xscale/i2c.c,cpu/pxa/i2c.c,arch/arm/cpu/pxa/i2c.c,drivers/i2c/mv_i2c.c
cpu/xscale/interrupts.c,cpu/pxa/interrupts.c,cpu/pxa/timer.c,arch/arm/cpu/pxa/timer.c
cpu/xscale/serial.c,cpu/pxa/serial.c,drivers/serial/serial_pxa.c
cpu/xscale/start.S,cpu/pxa/start.S,arch/arm/cpu/pxa/start.S
include/asm-arm/arch-xscale/bitfield.h,include/asm-arm/arch-pxa/bitfield.h,arch/arm/include/asm/arch-pxa/bitfield.h
include/asm-arm/arch-xscale/hardware.h,include/asm-arm/arch-pxa/hardware.h,arch/arm/include/asm/arch-pxa/hardware.h
lib_i386/ic/sc520.c,cpu/i386/sc520.c,cpu/i386/sc520/sc520.c,arch/i386/cpu/sc520/sc520.c,arch/x86/cpu/sc520/sc520.c
lib_i386/ic/sc520_asm.S,cpu/i386/sc520_asm.S,cpu/i386/sc520/sc520_asm.S,arch/i386/cpu/sc520/sc520_asm.S
lib_i386/ic/ali512x.c,drivers/ali512x.c,drivers/misc/ali512x.c
cpu/mpc8xx/status_led.c,drivers/status_led.c,drivers/misc/status_led.c
cpu/mips/serial.c,cpu/mips/asc_serial.c,arch/mips/cpu/asc_serial.c,arch/mips/cpu/mips32/asc_serial.c,arch/mips/cpu/mips32/incaip/asc_serial.c
cpu/mips/serial.h,cpu/mips/asc_serial.h,arch/mips/cpu/asc_serial.h,arch/mips/cpu/mips32/asc_serial.h,arch/mips/cpu/mips32/incaip/asc_serial.h
board/dk1c20/flash.c,board/altera/common/flash.c
board/BuS/EB+MCF-EV123/cfm_flash.h,board/BuS/eb_cpu5282/cfm_flash.h
board/BuS/EB+MCF-EV123/config.mk,board/BuS/eb_cpu5282/config.mk
board/BuS/EB+MCF-EV123/EB+MCF-EV123.c,board/BuS/eb_cpu5282/eb_cpu5282.c
board/BuS/EB+MCF-EV123/flash.c,board/BuS/eb_cpu5282/flash.c
board/BuS/EB+MCF-EV123/u-boot.lds,board/BuS/eb_cpu5282/u-boot.lds
include/configs/EB+MCF-EV123.h,include/configs/eb_cpu5282.h
fs/yaffs2/yaffs_qsort.h,fs/yaffs2/yaffs_nameval.h
fs/yaffs2/yaffs_tagsvalidity.h,fs/yaffs2/yaffs_osglue.h
fs/yaffs2/yaffsinterface.h,fs/yaffs2/yaffs_yaffs1.h
fs/ext2/Makefile,fs/ext4/Makefile
arch/powerpc/lib/bootcount.c,drivers/bootcount/bootcount.c
arch/blackfin/cpu/bootcount.c,drivers/bootcount/bootcount_blackfin.c
arch/arm/cpu/arm926ejs/mx28/Makefile,arch/arm/cpu/arm926ejs/mxs/Makefile
arch/arm/cpu/arm926ejs/mx28/clock.c,arch/arm/cpu/arm926ejs/mxs/clock.c
arch/arm/cpu/arm926ejs/mx28/iomux.c,arch/arm/cpu/arm926ejs/mxs/iomux.c
arch/arm/cpu/arm926ejs/mx28/mx28.c,arch/arm/cpu/arm926ejs/mxs/mx28.c,arch/arm/cpu/arm926ejs/mxs/mxs.c
arch/arm/cpu/arm926ejs/mx28/spl_boot.c,arch/arm/cpu/arm926ejs/mxs/spl_boot.c
arch/arm/cpu/arm926ejs/mx28/spl_lradc_init.c,arch/arm/cpu/arm926ejs/mxs/spl_lradc_init.c
arch/arm/cpu/arm926ejs/mx28/timer.c,arch/arm/cpu/arm926ejs/mxs/timer.c
arch/arm/include/asm/arch-mx28/clock.h,arch/arm/include/asm/arch-mxs/clock.h
arch/arm/include/asm/arch-mx28/dma.h,arch/arm/include/asm/arch-mxs/dma.h,arch/arm/include/asm/imx-common/dma.h,arch/arm/include/asm/mach-imx/dma.h
arch/arm/include/asm/arch-mx28/gpio.h,arch/arm/include/asm/arch-mxs/gpio.h
arch/arm/include/asm/arch-mx28/imx-regs.h,arch/arm/include/asm/arch-mxs/imx-regs.h
arch/arm/include/asm/arch-mx28/iomux-mx28.h,arch/arm/include/asm/arch-mxs/iomux-mx28.h
arch/arm/include/asm/arch-mx28/iomux.h,arch/arm/include/asm/arch-mxs/iomux.h
arch/arm/include/asm/arch-mx28/regs-apbh.h,arch/arm/include/asm/arch-mxs/regs-apbh.h,arch/arm/include/asm/imx-common/regs-apbh.h,arch/arm/include/asm/mach-imx/regs-apbh.h
arch/arm/include/asm/arch-mx28/regs-base.h,arch/arm/include/asm/arch-mxs/regs-base.h
arch/arm/include/asm/arch-mx28/regs-bch.h,arch/arm/include/asm/arch-mxs/regs-bch.h,arch/arm/include/asm/imx-common/regs-bch.h,arch/arm/include/asm/mach-imx/regs-bch.h
arch/arm/include/asm/arch-mx28/regs-clkctrl.h,arch/arm/include/asm/arch-mxs/regs-clkctrl.h,arch/arm/include/asm/arch-mxs/regs-clkctrl-mx28.h
arch/arm/include/asm/arch-mx28/regs-common.h,arch/arm/include/asm/arch-mxs/regs-common.h,arch/arm/include/asm/imx-common/regs-common.h,arch/arm/include/asm/mach-imx/regs-common.h
arch/arm/include/asm/arch-mx28/regs-digctl.h,arch/arm/include/asm/arch-mxs/regs-digctl.h
arch/arm/include/asm/arch-mx28/regs-gpmi.h,arch/arm/include/asm/arch-mxs/regs-gpmi.h,arch/arm/include/asm/imx-common/regs-gpmi.h,arch/arm/include/asm/mach-imx/regs-gpmi.h
arch/arm/include/asm/arch-mx28/regs-i2c.h,arch/arm/include/asm/arch-mxs/regs-i2c.h
arch/arm/include/asm/arch-mx28/regs-lcdif.h,arch/arm/include/asm/arch-mxs/regs-lcdif.h,arch/arm/include/asm/imx-common/regs-lcdif.h,arch/arm/include/asm/mach-imx/regs-lcdif.h
arch/arm/include/asm/arch-mx28/regs-lradc.h,arch/arm/include/asm/arch-mxs/regs-lradc.h
arch/arm/include/asm/arch-mx28/regs-ocotp.h,arch/arm/include/asm/arch-mxs/regs-ocotp.h
arch/arm/include/asm/arch-mx28/regs-pinctrl.h,arch/arm/include/asm/arch-mxs/regs-pinctrl.h
arch/arm/include/asm/arch-mx28/regs-power.h,arch/arm/include/asm/arch-mxs/regs-power.h,arch/arm/include/asm/arch-mxs/regs-power-mx28.h
arch/arm/include/asm/arch-mx28/regs-rtc.h,arch/arm/include/asm/arch-mxs/regs-rtc.h
arch/arm/include/asm/arch-mx28/regs-ssp.h,arch/arm/include/asm/arch-mxs/regs-ssp.h
arch/arm/include/asm/arch-mx28/regs-timrot.h,arch/arm/include/asm/arch-mxs/regs-timrot.h
arch/arm/include/asm/arch-mx28/regs-usb.h,arch/arm/include/asm/arch-mxs/regs-usb.h
arch/arm/include/asm/arch-mx28/regs-usbphy.h,arch/arm/include/asm/arch-mxs/regs-usbphy.h
arch/arm/include/asm/arch-mx28/sys_proto.h,arch/arm/include/asm/arch-mxs/sys_proto.h
board/bluegiga/apx4devkit/u-boot.bd,arch/arm/cpu/arm926ejs/mxs/u-boot.bd,arch/arm/cpu/arm926ejs/mxs/u-boot-imx28.bd
drivers/usb/musb/da8xx.h,arch/arm/include/asm/arch-davinci/da8xx-usb.h,arch/arm/mach-davinci/include/mach/da8xx-usb.h
board/st-ericsson/u8500/prcmu.c,arch/arm/cpu/armv7/u8500/prcmu.c
board/st-ericsson/u8500/prcmu-fw.h,arch/arm/include/asm/arch-u8500/prcmu.h
arch/arm/cpu/armv7/tegra2/Makefile,arch/arm/cpu/armv7/tegra20/Makefile
arch/arm/cpu/armv7/tegra2/ap20.c,arch/arm/cpu/armv7/tegra20/ap20.c,arch/arm/cpu/tegra20-common/ap20.c,arch/arm/cpu/tegra-common/ap.c,arch/arm/mach-tegra/ap.c
arch/arm/cpu/armv7/tegra2/board.c,arch/arm/cpu/armv7/tegra20/board.c,arch/arm/cpu/tegra20-common/board.c,arch/arm/cpu/tegra-common/board.c,arch/arm/mach-tegra/board.c
arch/arm/cpu/armv7/tegra2/clock.c,arch/arm/cpu/armv7/tegra20/clock.c,arch/arm/cpu/tegra20-common/clock.c,arch/arm/mach-tegra/tegra20/clock.c
arch/arm/cpu/armv7/tegra2/cmd_enterrcm.c,arch/arm/cpu/armv7/tegra20/cmd_enterrcm.c,arch/arm/cpu/armv7/tegra-common/cmd_enterrcm.c,arch/arm/mach-tegra/cmd_enterrcm.c
arch/arm/cpu/armv7/tegra2/config.mk,arch/arm/cpu/armv7/tegra20/config.mk
arch/arm/cpu/armv7/tegra2/crypto.c,arch/arm/cpu/armv7/tegra20/crypto.c,arch/arm/cpu/tegra20-common/crypto.c,arch/arm/mach-tegra/tegra20/crypto.c,arch/arm/mach-tegra/crypto.c
arch/arm/cpu/armv7/tegra2/crypto.h,arch/arm/cpu/armv7/tegra20/crypto.h,arch/arm/cpu/tegra20-common/crypto.h,arch/arm/mach-tegra/tegra20/crypto.h,arch/arm/mach-tegra/crypto.h
arch/arm/cpu/armv7/tegra2/emc.c,arch/arm/cpu/armv7/tegra20/emc.c,arch/arm/cpu/tegra20-common/emc.c,arch/arm/mach-tegra/tegra20/emc.c
arch/arm/cpu/armv7/tegra2/funcmux.c,arch/arm/cpu/armv7/tegra20/funcmux.c,arch/arm/cpu/tegra20-common/funcmux.c,arch/arm/mach-tegra/tegra20/funcmux.c,drivers/pinctrl/tegra/funcmux-tegra20.c
arch/arm/cpu/armv7/tegra2/lowlevel_init.S,arch/arm/cpu/armv7/tegra20/lowlevel_init.S,arch/arm/cpu/tegra20-common/lowlevel_init.S,arch/arm/cpu/tegra-common/lowlevel_init.S,arch/arm/mach-tegra/lowlevel_init.S
arch/arm/cpu/armv7/tegra2/pinmux.c,arch/arm/cpu/armv7/tegra20/pinmux.c,arch/arm/cpu/tegra20-common/pinmux.c,arch/arm/mach-tegra/tegra20/pinmux.c,drivers/pinctrl/tegra/pinmux-tegra20.c
arch/arm/cpu/armv7/tegra2/pmu.c,arch/arm/cpu/armv7/tegra20/pmu.c,arch/arm/cpu/tegra20-common/pmu.c,arch/arm/mach-tegra/tegra20/pmu.c
arch/arm/cpu/armv7/tegra2/sys_info.c,arch/arm/cpu/armv7/tegra20/sys_info.c,arch/arm/cpu/tegra20-common/sys_info.c,arch/arm/cpu/tegra-common/sys_info.c,arch/arm/mach-tegra/sys_info.c
arch/arm/cpu/armv7/tegra2/timer.c,arch/arm/cpu/armv7/tegra20/timer.c,arch/arm/cpu/tegra20-common/timer.c,arch/arm/cpu/tegra-common/timer.c
arch/arm/cpu/armv7/tegra2/usb.c,arch/arm/cpu/armv7/tegra20/usb.c
arch/arm/cpu/armv7/tegra2/warmboot.c,arch/arm/cpu/armv7/tegra20/warmboot.c,arch/arm/cpu/tegra20-common/warmboot.c,arch/arm/mach-tegra/tegra20/warmboot.c
arch/arm/cpu/armv7/tegra2/warmboot_avp.c,arch/arm/cpu/armv7/tegra20/warmboot_avp.c,arch/arm/cpu/tegra20-common/warmboot_avp.c,arch/arm/mach-tegra/tegra20/warmboot_avp.c
arch/arm/cpu/armv7/tegra2/warmboot_avp.h,arch/arm/cpu/armv7/tegra20/warmboot_avp.h,arch/arm/cpu/tegra20-common/warmboot_avp.h,arch/arm/mach-tegra/tegra20/warmboot_avp.h
arch/arm/include/asm/arch-tegra2/apb_misc.h,arch/arm/include/asm/arch-tegra20/apb_misc.h,arch/arm/include/asm/arch-tegra/apb_misc.h
arch/arm/include/asm/arch-tegra2/board.h,arch/arm/include/asm/arch-tegra20/board.h,arch/arm/include/asm/arch-tegra/board.h
arch/arm/include/asm/arch-tegra2/clk_rst.h,arch/arm/include/asm/arch-tegra20/clk_rst.h,arch/arm/include/asm/arch-tegra/clk_rst.h
arch/arm/include/asm/arch-tegra2/clock.h,arch/arm/include/asm/arch-tegra20/clock.h
arch/arm/include/asm/arch-tegra2/emc.h,arch/arm/include/asm/arch-tegra20/emc.h
arch/arm/include/asm/arch-tegra2/flow.h,arch/arm/include/asm/arch-tegra20/flow.h
arch/arm/include/asm/arch-tegra2/funcmux.h,arch/arm/include/asm/arch-tegra20/funcmux.h
arch/arm/include/asm/arch-tegra2/fuse.h,arch/arm/include/asm/arch-tegra20/fuse.h,arch/arm/include/asm/arch-tegra/fuse.h
arch/arm/include/asm/arch-tegra2/gp_padctrl.h,arch/arm/include/asm/arch-tegra20/gp_padctrl.h
arch/arm/include/asm/arch-tegra2/gpio.h,arch/arm/include/asm/arch-tegra20/gpio.h
arch/arm/include/asm/arch-tegra2/mmc.h,arch/arm/include/asm/arch-tegra20/mmc.h,arch/arm/include/asm/arch-tegra/mmc.h
arch/arm/include/asm/arch-tegra2/pinmux.h,arch/arm/include/asm/arch-tegra20/pinmux.h
arch/arm/include/asm/arch-tegra2/pmc.h,arch/arm/include/asm/arch-tegra20/pmc.h,arch/arm/include/asm/arch-tegra/pmc.h
arch/arm/include/asm/arch-tegra2/pmu.h,arch/arm/include/asm/arch-tegra20/pmu.h,arch/arm/include/asm/arch-tegra/pmu.h
arch/arm/include/asm/arch-tegra2/scu.h,arch/arm/include/asm/arch-tegra20/scu.h,arch/arm/include/asm/arch-tegra/scu.h
arch/arm/include/asm/arch-tegra2/sdram_param.h,arch/arm/include/asm/arch-tegra20/sdram_param.h
arch/arm/include/asm/arch-tegra2/sys_proto.h,arch/arm/include/asm/arch-tegra20/sys_proto.h,arch/arm/include/asm/arch-tegra/sys_proto.h
arch/arm/include/asm/arch-tegra2/tegra2.h,arch/arm/include/asm/arch-tegra20/tegra20.h,arch/arm/include/asm/arch-tegra/tegra.h
arch/arm/include/asm/arch-tegra2/tegra_i2c.h,arch/arm/include/asm/arch-tegra20/tegra_i2c.h,arch/arm/include/asm/arch-tegra/tegra_i2c.h
arch/arm/include/asm/arch-tegra2/timer.h,arch/arm/include/asm/arch-tegra20/timer.h,arch/arm/include/asm/arch-tegra/timer.h
arch/arm/include/asm/arch-tegra2/uart-spi-switch.h,arch/arm/include/asm/arch-tegra20/uart-spi-switch.h
arch/arm/include/asm/arch-tegra2/uart.h,arch/arm/include/asm/arch-tegra20/uart.h,arch/arm/include/asm/arch-tegra/uart.h
arch/arm/include/asm/arch-tegra2/usb.h,arch/arm/include/asm/arch-tegra20/usb.h,arch/arm/include/asm/arch-tegra/usb.h
arch/arm/include/asm/arch-tegra2/warmboot.h,arch/arm/include/asm/arch-tegra20/warmboot.h,arch/arm/include/asm/arch-tegra/warmboot.h
board/avionic-design/dts/tegra2-medcom.dts,board/avionic-design/dts/tegra20-medcom.dts,board/avionic-design/dts/tegra20-medcom-wide.dts,arch/arm/dts/tegra20-medcom-wide.dts
board/avionic-design/dts/tegra2-plutux.dts,board/avionic-design/dts/tegra20-plutux.dts,arch/arm/dts/tegra20-plutux.dts
board/avionic-design/dts/tegra2-tec.dts,board/avionic-design/dts/tegra20-tec.dts,arch/arm/dts/tegra20-tec.dts
board/compal/dts/tegra2-paz00.dts,board/compal/dts/tegra20-paz00.dts,arch/arm/dts/tegra20-paz00.dts
board/compulab/dts/tegra2-trimslice.dts,board/compulab/dts/tegra20-trimslice.dts,arch/arm/dts/tegra20-trimslice.dts
board/nvidia/dts/tegra2-harmony.dts,board/nvidia/dts/tegra20-harmony.dts,arch/arm/dts/tegra20-harmony.dts
board/nvidia/dts/tegra2-seaboard.dts,board/nvidia/dts/tegra20-seaboard.dts,arch/arm/dts/tegra20-seaboard.dts
board/nvidia/dts/tegra2-ventana.dts,board/nvidia/dts/tegra20-ventana.dts,arch/arm/dts/tegra20-ventana.dts
board/nvidia/dts/tegra2-whistler.dts,board/nvidia/dts/tegra20-whistler.dts,arch/arm/dts/tegra20-whistler.dts
include/configs/tegra2-common-post.h,include/configs/tegra20-common-post.h,include/configs/tegra-common-post.h
include/configs/tegra2-common.h,include/configs/tegra20-common.h
board/efikamx/Makefile,board/genesi/mx51_efikamx/Makefile
board/efikamx/efikamx-usb.c,board/genesi/mx51_efikamx/efikamx-usb.c
board/efikamx/efikamx.c,board/genesi/mx51_efikamx/efikamx.c
board/efikamx/imximage_sb.cfg,board/genesi/mx51_efikamx/imximage_sb.cfg
include/configs/efikamx.h,include/configs/mx51_efikamx.h
arch/arm/cpu/armv7/imx-common/Makefile,arch/arm/imx-common/Makefile,arch/arm/mach-imx/Makefile
arch/arm/cpu/armv7/imx-common/cmd_bmode.c,arch/arm/imx-common/cmd_bmode.c,arch/arm/mach-imx/cmd_bmode.c
arch/arm/cpu/armv7/imx-common/cpu.c,arch/arm/imx-common/cpu.c,arch/arm/mach-imx/cpu.c
arch/arm/cpu/armv7/imx-common/i2c.c,arch/arm/imx-common/i2c-mxv7.c,arch/arm/mach-imx/i2c-mxv7.c
arch/arm/cpu/armv7/omap-common/spl.c,common/spl/spl.c
arch/arm/cpu/armv7/omap-common/spl_ymodem.c,common/spl/spl_ymodem.c
arch/arm/cpu/armv7/omap-common/spl_mmc.c,drivers/mmc/spl_mmc.c,common/spl/spl_mmc.c
arch/arm/cpu/armv7/omap-common/spl_nand.c,common/spl/spl_nand.c
common/serial.c,drivers/serial/serial.c
board/avionic-design/medcom/Makefile,board/avionic-design/medcom-wide/Makefile
include/configs/medcom.h,include/configs/medcom-wide.h
arch/arm/cpu/arm720t/tegra20/board.h,arch/arm/cpu/arm720t/tegra-common/board.h
arch/arm/cpu/arm720t/tegra20/cpu.h,arch/arm/cpu/arm720t/tegra-common/cpu.h,arch/arm/mach-tegra/cpu.h
arch/arm/cpu/arm720t/tegra20/spl.c,arch/arm/cpu/arm720t/tegra-common/spl.c,arch/arm/mach-tegra/spl.c
board/freescale/mx6qsabrelite/imximage.cfg,board/freescale/imx/ddr/mx6q_4x_mt41j128.cfg,board/congatec/cgtqmx6eval/imximage.cfg
arch/arm/cpu/arm1176/tnetv107x/wdt.c,drivers/watchdog/tnetv107x_wdt.c
include/max8997_pmic.h,include/power/max8997_pmic.h
include/max8998_pmic.h,include/power/max8998_pmic.h
include/pmic.h,include/power/pmic.h
drivers/misc/pmic_max8997.c,drivers/power/pmic/pmic_max8997.c
drivers/misc/pmic_max8998.c,drivers/power/pmic/pmic_max8998.c
drivers/misc/pmic_core.c,drivers/power/pmic_core.c,drivers/power/power_core.c
drivers/misc/pmic_dialog.c,drivers/power/pmic_dialog.c,drivers/power/power_dialog.c
drivers/misc/pmic_fsl.c,drivers/power/pmic_fsl.c,drivers/power/power_fsl.c
drivers/misc/pmic_i2c.c,drivers/power/pmic_i2c.c,drivers/power/power_i2c.c
drivers/misc/pmic_spi.c,drivers/power/pmic_spi.c,drivers/power/power_spi.c
arch/arm/cpu/armv7/s5p-common/wdt.c,drivers/watchdog/s5p_wdt.c
board/samsung/smdk5250/mmc_boot.c,board/samsung/smdk5250/spl_boot.c,arch/arm/cpu/armv7/exynos/spl_boot.c,arch/arm/mach-exynos/spl_boot.c
drivers/misc/fsl_law.c,arch/powerpc/cpu/mpc8xxx/law.c
board/chromebook-x86/coreboot/coreboot.c,arch/x86/cpu/coreboot/coreboot.c
board/chromebook-x86/coreboot/coreboot_pci.c,arch/x86/cpu/coreboot/pci.c
board/chromebook-x86/dts/x86-alex.dts,board/chromebook-x86/dts/alex.dts,arch/x86/dts/alex.dts
arch/x86/cpu/coreboot/coreboot_car.S,arch/x86/cpu/coreboot/car.S
drivers/misc/pmic_max77686.c,drivers/power/pmic/pmic_max77686.c
include/max77686_pmic.h,include/power/max77686_pmic.h
disk/part_efi.h,include/part_efi.h
include/configs/smdk5250.h,include/configs/exynos5250-dt.h,include/configs/exynos5250-common.h
board/qemu-mips/README,doc/README.qemu-mips
board/isee/igep0020/Makefile,board/isee/igep00x0/Makefile
board/isee/igep0020/igep0020.c,board/isee/igep00x0/igep00x0.c
board/isee/igep0030/igep0030.h,board/isee/igep00x0/igep00x0.h
arch/arm/cpu/armv7/am33xx/clock.c,arch/arm/cpu/armv7/am33xx/clock_am33xx.c,arch/arm/mach-omap2/am33xx/clock_am33xx.c
arch/arm/include/asm/arch-tegra/tegra_slink.h,arch/arm/include/asm/arch-tegra20/tegra20_slink.h
drivers/spi/tegra_slink.c,drivers/spi/tegra20_slink.c
board/ti/omap5_evm/Makefile,board/ti/omap5_uevm/Makefile
board/ti/omap5_evm/evm.c,board/ti/omap5_uevm/evm.c
board/ti/omap5_evm/mux_data.h,board/ti/omap5_uevm/mux_data.h
include/configs/omap5_evm.h,include/configs/omap5_uevm.h
include/fsl_nfc.h,drivers/mtd/nand/mxc_nand.h,drivers/mtd/nand/raw/mxc_nand.h
nand_spl/nand_boot_fsl_nfc.c,drivers/mtd/nand/mxc_nand_spl.c,drivers/mtd/nand/raw/mxc_nand_spl.c
board/openrisc/openrisc-generic/u-boot.lds,arch/openrisc/cpu/u-boot.lds
drivers/power/twl6035.c,drivers/power/palmas.c
include/twl6035.h,include/palmas.h
board/cm_t35/Makefile,board/compulab/cm_t35/Makefile
board/cm_t35/cm_t35.c,board/compulab/cm_t35/cm_t35.c
board/cm_t35/display.c,board/compulab/cm_t35/display.c,board/compulab/common/omap3_display.c
board/cm_t35/eeprom.c,board/compulab/cm_t35/eeprom.c,board/compulab/common/eeprom.c
board/cm_t35/eeprom.h,board/compulab/cm_t35/eeprom.h,board/compulab/common/eeprom.h
board/cm_t35/leds.c,board/compulab/cm_t35/leds.c
arch/blackfin/cpu/serial1.h,arch/blackfin/include/asm/serial1.h
arch/blackfin/cpu/serial4.h,arch/blackfin/include/asm/serial4.h
board/armltd/vexpress/ca9x4_ct_vxp.c,board/armltd/vexpress/vexpress_common.c
include/configs/ca9x4_ct_vxp.h,include/configs/vexpress_common.h
include/linux/mtd/mtd-abi.h,include/mtd/mtd-abi.h
drivers/tpm/generic_lpc_tpm.c,drivers/tpm/tpm_tis_lpc.c
drivers/tpm/slb9635_i2c/tpm.c,drivers/tpm/tpm.c
drivers/tpm/slb9635_i2c/tpm.h,drivers/tpm/tpm_private.h,drivers/tpm/tpm_tis_i2c.h,drivers/tpm/tpm_tis_infineon.h,drivers/tpm/tpm_tis.h
drivers/tpm/slb9635_i2c/tpm_tis_i2c.c,drivers/tpm/tpm_tis_i2c.c,drivers/tpm/tpm_tis_infineon.c
board/samsung/smdk5250/tzpc_init.c,arch/arm/cpu/armv7/exynos/tzpc.c,arch/arm/mach-exynos/tzpc.c
arch/arm/include/asm/arch-omap4/clocks.h,arch/arm/include/asm/arch-omap4/clock.h
arch/arm/include/asm/arch-omap5/clocks.h,arch/arm/include/asm/arch-omap5/clock.h
nand_spl/board/freescale/p1010rdb/nand_boot.c,board/freescale/p1010rdb/spl_minimal.c
arch/arm/lib/bss.c,arch/arm/lib/sections.c
board/freescale/mx6qsabresd/Makefile,board/freescale/mx6sabresd/Makefile
board/freescale/mx6qsabresd/mx6qsabresd.c,board/freescale/mx6sabresd/mx6sabresd.c
include/configs/mx6qsabre_common.h,include/configs/mx6sabre_common.h
include/configs/mx6qsabresd.h,include/configs/mx6sabresd.h
doc/README.mx28evk,board/freescale/mx28evk/README
doc/README.m28,board/denx/m28evk/README,board/aries/m28evk/README
board/samsung/smdk5250/smdk5250-uboot-spl.lds,board/samsung/common/exynos-uboot-spl.lds
board/samsung/smdk5250/clock_init.h,arch/arm/cpu/armv7/exynos/clock_init.h,arch/arm/mach-exynos/clock_init.h
board/samsung/smdk5250/clock_init.c,arch/arm/cpu/armv7/exynos/clock_init_exynos5.c,arch/arm/mach-exynos/clock_init_exynos5.c
board/samsung/smdk5250/dmc_common.c,arch/arm/cpu/armv7/exynos/dmc_common.c,arch/arm/mach-exynos/dmc_common.c
board/samsung/smdk5250/dmc_init_ddr3.c,arch/arm/cpu/armv7/exynos/dmc_init_ddr3.c,arch/arm/mach-exynos/dmc_init_ddr3.c
board/samsung/origen/origen_setup.h,arch/arm/cpu/armv7/exynos/exynos4_setup.h,arch/arm/mach-exynos/exynos4_setup.h
board/samsung/smdk5250/setup.h,arch/arm/cpu/armv7/exynos/exynos5_setup.h,arch/arm/mach-exynos/exynos5_setup.h
doc/README.mx28_common,doc/README.mxs,doc/imx/README.mxs,doc/imx/common/README.mxs,doc/imx/common/mxs.txt
drivers/pci/pci_ftpci100.h,include/faraday/ftpci100.h
COPYING,Licenses/gpl-2.0.txt
board/altera/socfpga_cyclone5/Makefile,board/altera/socfpga/Makefile,board/altera/arria5-socdk/Makefile
board/altera/socfpga_cyclone5/socfpga_cyclone5.c,board/altera/socfpga/socfpga_cyclone5.c,board/altera/socfpga/socfpga.c,board/altera/arria5-socdk/socfpga.c
board/xilinx/microblaze-generic/dts/microblaze.dts,board/xilinx/dts/microblaze-generic.dts,arch/microblaze/dts/microblaze-generic.dts
board/freescale/t4qds/t4qds.c,board/freescale/t4qds/t4240qds.c
arch/arm/include/asm/arch-davinci/da8xx-fb.h,drivers/video/da8xx-fb.h
drivers/mtd/spi/spi_flash.c,drivers/mtd/spi/sf.c
drivers/mtd/spi/spi_flash_internal.h,drivers/mtd/spi/sf_internal.h
drivers/mtd/spi/spi_flash_ops.c,drivers/mtd/spi/sf_ops.c,drivers/mtd/spi/spi_flash.c
drivers/mtd/spi/spi_flash_probe.c,drivers/mtd/spi/sf_probe.c
arch/arm/include/asm/arch-omap5/xhci-omap.h,include/linux/usb/xhci-omap.h
include/configs/igep0033.h,include/configs/am335x_igep0033.h,include/configs/am335x_igep003x.h
board/qemu-malta/Makefile,board/imgtec/malta/Makefile
board/qemu-malta/lowlevel_init.S,board/imgtec/malta/lowlevel_init.S
board/qemu-malta/qemu-malta.c,board/imgtec/malta/malta.c
include/configs/qemu-malta.h,include/configs/malta.h
board/freescale/titanium/Makefile,board/barco/titanium/Makefile
board/freescale/titanium/imximage.cfg,board/barco/titanium/imximage.cfg
board/freescale/titanium/titanium.c,board/barco/titanium/titanium.c
board/freescale/p1010rdb/README,board/freescale/p1010rdb/README.P1010RDB-PA
arch/arm/include/asm/arch-am33xx/elm.h,arch/arm/include/asm/omap_elm.h,include/linux/mtd/omap_elm.h,drivers/mtd/nand/raw/omap_elm.h
arch/arm/cpu/armv7/am33xx/elm.c,drivers/mtd/nand/omap_elm.c,drivers/mtd/nand/raw/omap_elm.c
arch/powerpc/cpu/mpc8xxx/ddr/interactive.c,drivers/ddr/fsl/interactive.c
arch/powerpc/cpu/mpc8xxx/fsl_ifc.c,drivers/misc/fsl_ifc.c
arch/powerpc/include/asm/fsl_ifc.h,include/fsl_ifc.h
tools/binutils-version.sh,scripts/binutils-version.sh
tools/checkpatch.pl,scripts/checkpatch.pl
tools/checkstack.pl,scripts/checkstack.pl
tools/cleanpatch,scripts/cleanpatch
tools/dtc-version.sh,scripts/dtc-version.sh
tools/gcc-version.sh,scripts/gcc-version.sh
tools/setlocalversion,scripts/setlocalversion
include/configs/zynq.h,include/configs/zynq-common.h
include/configs/omap4_common.h,include/configs/ti_omap4_common.h
include/configs/omap5_common.h,include/configs/ti_omap5_common.h
tools/scripts/README,tools/kermit/README
tools/scripts/dot.kermrc,tools/kermit/dot.kermrc
tools/scripts/flash_param,tools/kermit/flash_param
tools/scripts/send_cmd,tools/kermit/send_cmd
tools/scripts/send_image,tools/kermit/send_image
drivers/usb/gadget/mv_udc.c,drivers/usb/gadget/ci_udc.c
drivers/usb/gadget/mv_udc.h,drivers/usb/gadget/ci_udc.h
include/usb/mv_udc.h,include/usb/ci_udc.h
board/samsung/origen/tools/mkv310_image.c,board/samsung/origen/tools/mkorigenspl.c
scripts/Makefile.build,scripts/Makefile.build.tmp
tools/kernel-doc/docproc.c,scripts/docproc.c
tools/kernel-doc/kernel-doc,scripts/kernel-doc
